bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
11,11300725.0,10,5,4,3,0,1,2,0,0,0,1,0,0,1,13.49712071,52.5115612,1,0.0,04 to 08
10,10300733.0,12,0,5,3,5,3,2,0,1,0,0,0,0,1,13.55308467,52.50905153,1,0.0,00 to 04
4,4200311.0,8,15,5,3,0,2,0,0,1,0,1,0,0,0,13.2818844,52.51009751,2,0.0,12 to 16
4,4300621.0,7,17,2,3,5,2,0,1,1,0,0,0,0,0,13.30927944,52.51166594,2,0.5,16 to 20
6,6400735.0,5,15,6,2,2,3,0,0,1,0,1,0,0,0,13.15978455,52.41962326,2,0.0,12 to 16
5,5200634.0,10,20,3,3,0,7,2,1,0,0,0,0,0,0,13.20034294,52.51235134,1,1.0,20 to 24
2,2400625.0,4,18,4,3,5,7,0,0,1,0,1,0,0,0,13.44739846,52.50339496,2,0.0,16 to 20
7,7400721.0,9,12,7,3,2,6,0,0,1,0,0,0,0,0,13.38559478,52.47329034,1,0.0,12 to 16
4,4200311.0,11,18,5,2,6,4,2,0,1,1,0,0,0,1,13.28153148,52.50990864,2,0.0,16 to 20
7,7501029.0,8,10,4,3,2,6,0,0,0,0,1,0,1,1,13.38094583,52.43843117,2,0.0,08 to 12
6,6100101.0,7,15,3,3,5,2,0,1,1,0,0,0,0,0,13.31465963,52.45319391,2,0.5,12 to 16
10,10400837.0,6,19,5,3,0,1,0,0,0,0,0,0,1,1,13.58785304,52.50500838,1,0.0,16 to 20
11,11300722.0,11,7,4,3,5,3,0,1,1,0,0,0,0,0,13.48424305,52.51281989,2,0.5,04 to 08
3,3601449.0,4,14,4,3,2,6,0,0,1,0,1,0,0,0,13.43882048,52.54093992,2,0.0,12 to 16
